"B05007_001E","B05007_001M","B05007_002E","B05007_002M","B05007_003E","B05007_003M","B05007_004E","B05007_004M","B05007_005E","B05007_005M","B05007_006E","B05007_006M","B05007_007E","B05007_007M","B05007_008E","B05007_008M","B05007_009E","B05007_009M","B05007_010E","B05007_010M","B05007_011E","B05007_011M","B05007_012E","B05007_012M","B05007_013E","B05007_013M","B05007_014E","B05007_014M","B05007_015E","B05007_015M","B05007_016E","B05007_016M","B05007_017E","B05007_017M","B05007_018E","B05007_018M","B05007_019E","B05007_019M","B05007_020E","B05007_020M","B05007_021E","B05007_021M","B05007_022E","B05007_022M","B05007_023E","B05007_023M","B05007_024E","B05007_024M","B05007_025E","B05007_025M","B05007_026E","B05007_026M","B05007_027E","B05007_027M","B05007_028E","B05007_028M","B05007_029E","B05007_029M","B05007_030E","B05007_030M","B05007_031E","B05007_031M","B05007_032E","B05007_032M","B05007_033E","B05007_033M","B05007_034E","B05007_034M","B05007_035E","B05007_035M","B05007_036E","B05007_036M","B05007_037E","B05007_037M","B05007_038E","B05007_038M","B05007_039E","B05007_039M","B05007_040E","B05007_040M","B05007_041E","B05007_041M","B05007_042E","B05007_042M","B05007_043E","B05007_043M","B05007_044E","B05007_044M","B05007_045E","B05007_045M","B05007_046E","B05007_046M","B05007_047E","B05007_047M","B05007_048E","B05007_048M","B05007_049E","B05007_049M","B05007_050E","B05007_050M","B05007_051E","B05007_051M","B05007_052E","B05007_052M","B05007_053E","B05007_053M","B05007_054E","B05007_054M","B05007_055E","B05007_055M","B05007_056E","B05007_056M","B05007_057E","B05007_057M","B05007_058E","B05007_058M","B05007_059E","B05007_059M","B05007_060E","B05007_060M","B05007_061E","B05007_061M","B05007_062E","B05007_062M","B05007_063E","B05007_063M","B05007_064E","B05007_064M","B05007_065E","B05007_065M","B05007_066E","B05007_066M","B05007_067E","B05007_067M","B05007_068E","B05007_068M","B05007_069E","B05007_069M","B05007_070E","B05007_070M","B05007_071E","B05007_071M","B05007_072E","B05007_072M","B05007_073E","B05007_073M","B05007_074E","B05007_074M","B05007_075E","B05007_075M","B05007_076E","B05007_076M","B05007_077E","B05007_077M","B05007_078E","B05007_078M","B05007_079E","B05007_079M","B05007_080E","B05007_080M","B05007_081E","B05007_081M","B05007_082E","B05007_082M","B05007_083E","B05007_083M","B05007_084E","B05007_084M","B05007_085E","B05007_085M","B05007_086E","B05007_086M","B05007_087E","B05007_087M","B05007_088E","B05007_088M","B05007_089E","B05007_089M","B05007_090E","B05007_090M","B05007_091E","B05007_091M","B05007_092E","B05007_092M","B05007_093E","B05007_093M","B05007_094E","B05007_094M","GEO_ID","NAME"
"556","195","131","104","42","67","0","95","42","67","18","29","18","29","0","95","18","27","18","27","0","95","53","55","53","55","0","95","229","130","66","80","0","95","66","80","56","61","29","50","27","34","71","51","71","51","0","95","36","40","36","40","0","95","111","88","15","22","0","95","0","95","0","95","15","22","15","22","0","95","0","95","0","95","0","95","0","95","0","95","0","95","52","50","27","32","0","95","0","95","0","95","11","18","11","18","0","95","16","26","16","26","0","95","0","95","0","95","0","95","25","39","25","39","0","95","25","39","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","44","68","44","68","0","95","44","68","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","85","57","29","33","0","95","29","33","34","37","34","37","0","95","0","95","0","95","0","95","22","30","22","30","0","95","1400000US06037143604","Census Tract 1436.04, Los Angeles County, California"
"820","227","219","148","0","95","0","95","0","95","45","57","34","54","11","17","0","95","0","95","0","95","174","137","141","127","33","53","396","186","14","22","0","95","14","22","70","69","58","65","12","21","94","104","94","104","0","95","218","158","183","151","35","46","97","111","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","97","111","0","95","0","95","0","95","97","111","75","110","22","34","0","95","0","95","0","95","0","95","0","95","0","95","108","82","47","57","0","95","47","57","0","95","0","95","0","95","0","95","0","95","0","95","61","54","31","36","30","42","1400000US06037143700","Census Tract 1437, Los Angeles County, California"
"1347","308","539","190","26","22","0","95","26","22","160","125","112","121","48","46","119","82","91","74","28","44","234","117","207","119","27","43","637","268","232","192","118","119","114","82","148","98","148","98","0","95","13","21","13","21","0","95","244","114","244","114","0","95","81","61","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","54","56","54","56","31","51","0","95","31","51","0","95","0","95","0","95","0","95","0","95","0","95","23","24","23","24","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","27","33","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","27","33","27","33","0","95","90","58","14","22","0","95","14","22","0","95","0","95","0","95","32","41","32","41","0","95","44","41","44","41","0","95","1400000US06037143800","Census Tract 1438, Los Angeles County, California"
"951","271","398","171","93","82","0","95","93","82","39","38","20","22","19","31","51","44","16","16","35","41","215","149","215","149","0","95","396","186","47","64","10","48","37","36","74","59","53","50","21","25","102","67","89","66","13","21","173","108","173","108","0","95","47","37","20","23","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","20","23","20","23","0","95","11","20","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","11","20","11","20","11","20","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","16","19","0","95","0","95","0","95","0","95","0","95","0","95","7","13","7","13","0","95","9","15","9","15","0","95","110","69","41","47","0","95","41","47","8","12","8","12","0","95","18","28","18","28","0","95","43","35","35","33","8","13","1400000US06037143901","Census Tract 1439.01, Los Angeles County, California"
"498","162","168","90","21","22","11","17","10","15","34","40","34","40","0","95","23","37","0","95","23","37","90","75","37","37","53","63","143","101","60","80","15","23","45","58","10","16","10","16","0","95","8","12","8","12","0","95","65","42","65","42","0","95","132","82","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","43","41","34","37","0","95","0","95","0","95","0","95","0","95","0","95","9","14","9","14","0","95","25","29","25","29","0","95","9","16","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","9","16","9","16","0","95","89","74","45","70","0","95","45","70","30","31","12","18","18","25","14","23","14","23","0","95","0","95","0","95","0","95","55","34","0","95","0","95","0","95","11","18","11","18","0","95","18","22","6","9","12","19","26","25","17","19","9","15","1400000US06037143902","Census Tract 1439.02, Los Angeles County, California"
"2172","364","88","113","0","95","0","95","0","95","12","21","0","95","12","21","65","109","65","109","0","95","11","18","0","95","11","18","1039","249","137","130","14","26","123","128","214","154","151","103","63","75","275","149","238","130","37","65","413","172","400","175","13","23","941","305","33","45","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","33","45","33","45","0","95","545","237","360","282","7","16","0","95","7","16","33","49","0","95","33","49","68","65","52","64","16","26","252","274","252","274","0","95","185","159","17","28","0","95","17","28","46","73","0","95","46","73","11","18","0","95","11","18","111","100","111","100","0","95","363","303","0","95","0","95","0","95","64","87","64","87","0","95","41","50","18","30","23","39","258","222","258","222","0","95","104","79","0","95","0","95","0","95","25","30","13","22","12","20","0","95","0","95","0","95","79","76","79","76","0","95","1400000US06037181000","Census Tract 1810, Los Angeles County, California"
"1428","322","77","57","8","13","0","95","8","13","16","20","8","14","8","13","12","18","12","18","0","95","41","48","41","48","0","95","845","219","144","114","65","70","79","72","137","94","130","94","7","12","313","121","245","100","68","74","251","117","239","113","12","18","491","242","77","98","0","95","0","95","0","95","0","95","0","95","0","95","8","13","8","13","0","95","69","97","69","97","0","95","244","101","165","102","35","43","9","14","26","41","6","12","6","12","0","95","29","25","12","18","17","21","95","71","79","65","16","20","79","61","0","95","0","95","0","95","6","11","0","95","6","11","31","35","22","32","9","15","42","49","42","49","0","95","170","216","0","95","0","95","0","95","0","95","0","95","0","95","59","91","59","91","0","95","111","129","72","77","39","59","15","23","1","4","0","95","1","4","0","95","0","95","0","95","14","23","0","95","14","23","0","95","0","95","0","95","1400000US06037181300","Census Tract 1813, Los Angeles County, California"
"2026","448","89","79","9","14","0","95","9","14","19","20","9","13","10","15","12","19","0","95","12","19","49","74","49","74","0","95","1160","306","303","161","39","49","264","146","465","224","162","127","303","190","228","93","217","93","11","17","164","76","154","76","10","17","775","324","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","679","328","326","171","47","53","0","95","47","53","0","95","0","95","0","95","84","62","12","19","72","60","195","139","41","37","154","127","353","308","227","301","0","95","227","301","41","44","0","95","41","44","51","37","12","19","39","33","34","29","22","24","12","18","96","113","39","54","0","95","39","54","15","23","15","23","0","95","23","36","11","17","12","19","19","21","19","21","0","95","2","6","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","2","6","2","6","0","95","1400000US06037181400","Census Tract 1814, Los Angeles County, California"
"1683","202","113","74","30","46","0","95","30","46","55","45","31","37","24","27","15","22","15","22","0","95","13","18","13","18","0","95","806","140","101","125","0","95","101","125","219","152","198","166","21","27","240","76","157","86","83","70","246","64","166","79","80","71","762","181","125","101","0","95","0","95","0","95","0","95","0","95","0","95","101","104","101","104","0","95","24","39","12","19","12","20","637","191","271","115","0","95","0","95","0","95","27","33","7","11","20","33","66","60","45","53","21","31","178","83","159","82","19","21","366","215","52","69","0","95","52","69","5","10","5","10","0","95","189","123","174","122","15","25","120","108","113","106","7","11","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","2","5","0","95","0","95","0","95","2","5","0","95","2","5","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037181500","Census Tract 1815, Los Angeles County, California"
"1125","285","49","52","27","44","0","95","27","44","22","27","0","95","22","27","0","95","0","95","0","95","0","95","0","95","0","95","369","163","154","127","0","95","154","127","85","61","69","56","16","19","26","32","11","17","15","27","104","100","104","100","0","95","675","196","16","19","0","95","0","95","0","95","9","15","4","7","5","13","0","95","0","95","0","95","7","11","7","11","0","95","606","180","227","104","18","29","12","18","6","20","25","44","0","95","25","44","82","49","82","49","0","95","102","75","42","32","60","59","379","189","26","33","0","95","26","33","58","38","0","95","58","38","224","124","25","30","199","119","71","37","71","37","0","95","53","58","53","58","0","95","53","58","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","32","46","0","95","0","95","0","95","25","45","25","45","0","95","0","95","0","95","0","95","7","12","7","12","0","95","1400000US06037181600","Census Tract 1816, Los Angeles County, California"
"1536","256","27","36","0","95","0","95","0","95","6","10","0","95","6","10","0","95","0","95","0","95","21","34","21","34","0","95","114","83","0","95","0","95","0","95","34","42","26","30","8","14","49","52","49","52","0","95","31","31","31","31","0","95","1353","236","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1025","228","569","192","55","51","0","95","55","51","119","95","7","12","112","92","138","91","44","49","94","69","257","134","151","114","106","90","456","160","51","50","0","95","51","50","76","62","25","39","51","48","151","97","67","45","84","75","178","103","143","89","35","33","328","255","6","10","0","95","6","10","0","95","0","95","0","95","170","198","0","95","170","198","152","117","79","69","73","72","42","42","0","95","0","95","0","95","24","38","0","95","24","38","0","95","0","95","0","95","18","19","7","11","11","16","1400000US06037183101","Census Tract 1831.01, Los Angeles County, California"
"1634","370","37","36","0","95","0","95","0","95","37","36","0","95","37","36","0","95","0","95","0","95","0","95","0","95","0","95","309","149","149","147","0","95","149","147","0","95","0","95","0","95","110","90","110","90","0","95","50","68","50","68","0","95","1288","374","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1267","378","659","301","87","93","0","95","87","93","75","86","0","95","75","86","300","215","193","187","107","89","197","82","54","66","143","74","608","411","0","95","0","95","0","95","221","244","20","32","201","242","294","231","247","205","47","65","93","105","93","105","0","95","21","35","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","21","35","21","35","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183103","Census Tract 1831.03, Los Angeles County, California"
"711","190","32","49","0","95","0","95","0","95","0","95","0","95","0","95","31","49","0","95","31","49","1","2","1","2","0","95","356","146","0","95","0","95","0","95","163","90","88","78","75","50","124","89","124","89","0","95","69","109","69","109","0","95","323","127","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","258","135","184","113","1","4","0","95","1","4","41","46","7","12","34","47","104","107","41","65","63","85","38","36","18","28","20","24","74","76","28","42","0","95","28","42","20","26","0","95","20","26","26","34","14","30","12","21","0","95","0","95","0","95","65","67","0","95","0","95","0","95","7","13","7","13","0","95","0","95","0","95","0","95","58","63","58","63","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183104","Census Tract 1831.04, Los Angeles County, California"
"1745","415","55","76","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","55","76","29","39","26","38","326","199","43","44","18","31","25","32","143","119","37","42","106","113","71","108","71","108","0","95","69","77","69","77","0","95","1342","381","12","20","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","12","20","0","95","12","20","1315","379","730","233","52","54","7","15","45","45","246","207","53","67","193","197","86","71","51","51","35","45","346","115","147","72","199","99","585","313","225","203","31","39","194","180","185","104","48","51","137","79","99","103","21","35","78","95","76","79","16","27","60","73","15","21","0","95","0","95","0","95","0","95","0","95","0","95","15","21","12","19","3","7","0","95","0","95","0","95","22","27","0","95","0","95","0","95","10","19","0","95","10","19","12","22","12","22","0","95","0","95","0","95","0","95","1400000US06037183220","Census Tract 1832.20, Los Angeles County, California"
"1275","344","28","43","0","95","0","95","0","95","0","95","0","95","0","95","28","43","0","95","28","43","0","95","0","95","0","95","184","151","99","144","0","95","99","144","69","57","30","39","39","42","7","12","0","95","7","12","9","14","9","14","0","95","1063","315","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1063","315","805","326","126","141","8","15","118","139","140","85","36","46","104","73","344","207","119","147","225","158","195","89","131","66","64","65","258","169","5","9","0","95","5","9","57","66","0","95","57","66","149","133","97","81","52","65","47","41","37","38","10","15","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183221","Census Tract 1832.21, Los Angeles County, California"
"1265","304","69","52","0","95","0","95","0","95","38","52","9","13","29","51","10","17","10","17","0","95","21","26","21","26","0","95","422","165","95","121","15","26","80","119","46","43","33","33","13","18","83","61","74","57","9","13","198","95","184","91","14","21","731","265","84","110","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","84","110","82","110","2","4","628","242","437","231","0","95","0","95","0","95","49","60","0","95","49","60","179","149","21","27","158","148","209","98","135","79","74","51","191","91","0","95","0","95","0","95","12","18","12","18","0","95","144","85","52","69","92","61","35","37","35","37","0","95","19","21","0","95","0","95","0","95","9","16","9","16","0","95","0","95","0","95","0","95","10","15","10","15","0","95","43","35","0","95","0","95","0","95","0","95","0","95","0","95","18","29","0","95","18","29","25","26","9","14","16","22","1400000US06037183222","Census Tract 1832.22, Los Angeles County, California"
"1456","368","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","506","135","83","123","0","95","83","123","55","50","55","50","0","95","267","162","267","162","0","95","101","83","101","83","0","95","943","363","7","14","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","7","14","7","14","0","95","906","360","623","293","78","90","26","44","52","65","88","77","0","95","88","77","104","93","42","45","62","65","353","242","276","189","77","64","283","175","80","94","0","95","80","94","58","44","0","95","58","44","105","83","39","32","66","71","40","35","40","35","0","95","30","42","7","12","0","95","7","12","6","12","0","95","6","12","8","15","0","95","8","15","9","16","0","95","9","16","7","10","0","95","0","95","0","95","0","95","0","95","0","95","7","10","7","10","0","95","0","95","0","95","0","95","1400000US06037183300","Census Tract 1833, Los Angeles County, California"
"1265","416","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","638","386","174","124","11","18","163","111","197","226","159","205","38","45","143","125","143","125","0","95","124","78","124","78","0","95","617","152","21","38","12","22","0","95","12","22","0","95","0","95","0","95","0","95","0","95","0","95","9","16","9","16","0","95","574","145","365","153","5","21","0","95","5","21","52","36","17","29","35","29","178","138","44","45","134","130","130","76","91","78","39","35","209","114","30","53","10","18","20","35","40","38","0","95","40","38","112","79","20","20","92","68","27","43","27","43","0","95","22","23","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","22","23","22","23","0","95","10","16","0","95","0","95","0","95","10","16","0","95","10","16","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183401","Census Tract 1834.01, Los Angeles County, California"
"1438","402","51","59","51","59","19","30","32","35","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","587","253","327","182","10","17","317","181","151","85","105","76","46","39","61","50","55","49","6","10","48","51","46","51","2","4","800","235","10","15","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","10","15","10","15","0","95","762","233","593","191","51","49","1","5","50","48","252","182","59","59","193","154","87","54","26","28","61","45","203","156","113","84","90","80","169","140","0","95","0","95","0","95","4","13","0","95","4","13","120","106","41","57","79","90","45","50","19","29","26","41","28","29","0","95","0","95","0","95","0","95","0","95","0","95","28","29","9","14","19","27","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183402","Census Tract 1834.02, Los Angeles County, California"
"1203","244","14","24","14","24","0","95","14","24","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","196","73","82","57","6","12","76","59","15","27","7","12","8","15","24","22","24","22","0","95","75","63","75","63","0","95","993","225","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","965","230","849","231","119","81","4","12","115","80","136","74","53","55","83","54","211","152","49","42","162","139","383","146","311","131","72","44","116","67","7","15","0","95","7","15","0","95","0","95","0","95","70","60","50","54","20","24","39","33","29","29","10","17","28","42","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","28","42","28","42","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183510","Census Tract 1835.10, Los Angeles County, California"
"1714","290","22","29","0","95","0","95","0","95","18","28","9","14","9","14","0","95","0","95","0","95","4","9","4","9","0","95","11","15","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","11","15","11","15","0","95","1681","290","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1671","288","1296","265","202","102","10","15","192","102","498","214","35","30","463","211","208","93","71","59","137","72","388","162","236","128","152","99","375","160","143","100","0","95","143","100","86","75","22","35","64","67","101","73","32","35","69","55","45","41","26","31","19","28","10","15","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","10","15","10","15","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183520","Census Tract 1835.20, Los Angeles County, California"
"1597","244","3","6","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","3","6","3","6","0","95","171","82","12","28","12","28","0","95","37","51","27","37","10","15","105","52","99","50","6","14","17","23","17","23","0","95","1423","224","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1423","224","1014","260","217","114","0","95","217","114","393","170","26","31","367","169","153","90","120","88","33","22","251","105","168","80","83","65","409","182","62","67","14","21","48","63","117","65","45","45","72","60","153","79","68","53","85","58","77","87","15","17","62","71","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183610","Census Tract 1836.10, Los Angeles County, California"
"1779","368","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","314","114","0","95","0","95","0","95","153","71","125","52","28","43","131","127","131","127","0","95","30","36","30","36","0","95","1456","376","65","84","59","83","0","95","59","83","0","95","0","95","0","95","0","95","0","95","0","95","6","9","0","95","6","9","1259","394","715","189","60","55","41","48","19","27","95","70","45","45","50","48","253","119","64","50","189","107","307","128","117","61","190","106","544","391","232","289","0","95","232","289","93","82","40","43","53","50","170","106","54","53","116","98","49","52","16","18","33","47","132","169","109","168","0","95","109","168","0","95","0","95","0","95","12","16","12","16","0","95","11","15","11","15","0","95","9","14","9","14","0","95","9","14","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183620","Census Tract 1836.20, Los Angeles County, California"
"1341","280","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","131","120","0","95","0","95","0","95","48","56","0","95","48","56","33","54","33","54","0","95","50","88","50","88","0","95","1210","271","13","21","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","13","21","13","21","0","95","1133","265","680","254","67","77","2","16","65","75","315","193","60","69","255","199","77","75","65","72","12","19","221","101","130","74","91","63","453","222","70","117","0","95","70","117","147","112","33","50","114","109","157","130","89","70","68","77","79","82","65","75","14","27","64","74","0","95","0","95","0","95","0","95","0","95","0","95","31","49","31","49","0","95","33","61","33","61","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183701","Census Tract 1837.01, Los Angeles County, California"
"1071","298","45","69","0","95","0","95","0","95","45","69","0","95","45","69","0","95","0","95","0","95","0","95","0","95","0","95","484","170","81","61","23","37","58","34","119","98","80","76","39","64","90","54","90","54","0","95","194","157","194","157","0","95","532","213","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","497","210","325","216","77","73","10","19","67","72","18","29","0","95","18","29","69","67","33","44","36","58","161","115","108","77","53","60","172","115","24","37","0","95","24","37","31","48","31","48","0","95","86","74","78","68","8","14","31","48","31","48","0","95","35","54","0","95","0","95","0","95","35","54","0","95","35","54","0","95","0","95","0","95","0","95","0","95","0","95","10","16","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","10","16","10","16","0","95","1400000US06037183702","Census Tract 1837.02, Los Angeles County, California"
"1842","325","8","13","0","95","0","95","0","95","8","13","0","95","8","13","0","95","0","95","0","95","0","95","0","95","0","95","103","63","27","43","18","29","9","14","0","95","0","95","0","95","29","31","29","31","0","95","47","45","47","45","0","95","1731","318","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1714","317","1023","266","208","124","20","32","188","115","383","108","16","18","367","105","217","105","26","24","191","94","215","126","94","75","121","80","691","257","0","95","0","95","0","95","215","107","0","95","215","107","323","197","176","175","147","93","153","141","45","41","108","105","17","27","0","95","0","95","0","95","17","27","0","95","17","27","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183810","Census Tract 1838.10, Los Angeles County, California"
"1448","353","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","97","80","40","64","0","95","40","64","36","34","36","34","0","95","21","28","21","28","0","95","0","95","0","95","0","95","1351","353","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1344","354","1195","336","232","135","0","95","232","135","371","173","17","20","354","171","365","191","141","79","224","155","227","116","172","93","55","48","149","104","11","18","11","18","0","95","22","35","0","95","22","35","61","53","12","19","49","49","55","54","20","31","35","43","7","11","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","7","11","0","95","7","11","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037183820","Census Tract 1838.20, Los Angeles County, California"
"2109","465","63","52","9","7","0","95","9","7","5","8","0","95","5","8","3","7","3","7","0","95","46","51","46","51","0","95","415","191","101","106","0","95","101","106","64","59","26","41","38","45","84","65","84","65","0","95","166","103","163","103","3","7","1535","422","3","7","0","95","0","95","0","95","0","95","0","95","0","95","3","7","3","7","0","95","0","95","0","95","0","95","1476","408","1141","414","149","125","18","28","131","121","299","257","12","20","287","248","288","158","136","162","152","110","405","232","187","161","218","167","335","164","23","38","0","95","23","38","39","51","28","47","11","18","231","146","124","109","107","89","42","44","27","27","15","22","56","85","3","7","0","95","3","7","32","74","32","74","0","95","21","34","21","34","0","95","0","95","0","95","0","95","96","63","65","60","0","95","65","60","2","7","2","7","0","95","14","19","14","19","0","95","15","24","15","24","0","95","1400000US06037185100","Census Tract 1851, Los Angeles County, California"
"1312","342","68","62","58","59","0","95","58","59","0","95","0","95","0","95","0","95","0","95","0","95","10","17","10","17","0","95","194","109","37","58","0","95","37","58","21","22","12","17","9","15","64","48","28","37","36","33","72","52","51","34","21","25","1032","318","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","973","312","857","294","178","170","0","95","178","170","300","221","15","19","285","221","44","37","20","22","24","29","335","134","178","102","157","75","116","75","30","47","0","95","30","47","32","32","9","15","23","28","54","44","18","20","36","42","0","95","0","95","0","95","59","58","12","20","0","95","12","20","9","15","9","15","0","95","8","14","8","14","0","95","30","39","30","39","0","95","18","23","0","95","0","95","0","95","11","19","0","95","11","19","0","95","0","95","0","95","7","11","7","11","0","95","1400000US06037185202","Census Tract 1852.02, Los Angeles County, California"
"1610","393","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","154","69","0","95","0","95","0","95","23","36","11","17","12","19","98","61","43","28","55","38","33","51","0","95","33","51","1448","371","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1428","369","1044","246","47","42","12","20","35","34","338","253","16","19","322","255","189","110","104","81","85","60","470","129","304","122","166","84","384","276","146","181","0","95","146","181","162","124","72","62","90","101","27","29","13","17","14","21","49","52","25","40","24","34","20","31","0","95","0","95","0","95","0","95","0","95","0","95","20","31","9","14","11","17","0","95","0","95","0","95","8","13","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","8","13","0","95","8","13","1400000US06037185203","Census Tract 1852.03, Los Angeles County, California"
